# BanRep aggregate-remittance inflows (USD millions).
# Source: Banco de la Republica - "Ingresos de Remesas de trabajadores"
#         suameca.banrep.gov.co series id 4150, idPlan=REMESAS_TRIMESTRAL.
# Cadence (Rev-2 real-world constraint): QUARTERLY. No BanRep-published
#         monthly aggregate-inflow series exists; reference_period rows
#         therefore fall on quarter-end days. See Task-11 test file
#         docstring and contracts/data/banrep_mpr_sources.md for full
#         provenance and methodology notes.
# Compiled manually per Task 11 Rev-2 protocol (no public monthly API
#         available). Real BanRep values, not synthetic.
# Schema: reference_period (YYYY-MM-DD quarter-end), value_usd (float USD
#         millions), mpr_vintage_date (YYYY-MM-DD; BanRep fechaUltimoCargue
#         of the captured snapshot), source_url.
reference_period,value_usd,mpr_vintage_date,source_url
2017-06-30,1400.12,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2017-09-30,1472.01,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2017-12-31,1603.19,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2018-03-31,1503.77,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2018-06-30,1598.93,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2018-09-30,1710.39,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2018-12-31,1823.11,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2019-03-31,1644.70,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2019-06-30,1774.51,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2019-09-30,1869.51,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2019-12-31,1797.81,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2020-03-31,1792.93,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2020-06-30,1324.52,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2020-09-30,1873.52,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2020-12-31,1917.87,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2021-03-31,1949.01,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2021-06-30,2167.34,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2021-09-30,2168.87,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2021-12-31,2312.02,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2022-03-31,2045.66,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2022-06-30,2417.51,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2022-09-30,2409.84,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2022-12-31,2555.81,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
