timestamp_utc,source,req_per_sec,cu_per_sec,cu_cumulative,cap_pct,action_taken
2026-05-03T23:40:07Z,sqd_network_cel,3.61,0,0,0,worker_discover_block_22135912
2026-05-03T23:40:12Z,sqd_network_cel,0.45,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:40:13Z,sqd_network_cel,3.36,0,0,0,worker_discover_block_23635912
2026-05-03T23:40:17Z,sqd_network_cel,0.34,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:40:17Z,sqd_network_cel,3.4,0,0,0,worker_discover_block_25135912
2026-05-03T23:40:19Z,sqd_network_cel,0.84,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:40:20Z,sqd_network_cel,3.59,0,0,0,worker_discover_block_26635912
2026-05-03T23:40:24Z,sqd_network_cel,0.35,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:40:25Z,sqd_network_cel,3.38,0,0,0,worker_discover_block_28135912
2026-05-03T23:40:27Z,sqd_network_cel,0.57,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:40:28Z,sqd_network_cel,2.49,0,0,0,worker_discover_block_20635912
2026-05-03T23:40:30Z,sqd_network_cel,0.75,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
2026-05-03T23:40:30Z,sqd_network_cel,3.38,0,0,0,worker_discover_block_22135912
2026-05-03T23:40:31Z,sqd_network_cel,1.35,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:40:32Z,sqd_network_cel,3.34,0,0,0,worker_discover_block_23635912
2026-05-03T23:40:34Z,sqd_network_cel,0.59,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:40:34Z,sqd_network_cel,3.61,0,0,0,worker_discover_block_25135912
2026-05-03T23:40:36Z,sqd_network_cel,1.33,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:40:36Z,sqd_network_cel,3.39,0,0,0,worker_discover_block_26635912
2026-05-03T23:40:39Z,sqd_network_cel,0.43,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:40:39Z,sqd_network_cel,3.63,0,0,0,worker_discover_block_28135912
2026-05-03T23:40:40Z,sqd_network_cel,1.49,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:40:41Z,sqd_network_cel,3.2,0,0,0,worker_discover_block_20635912
2026-05-03T23:40:42Z,sqd_network_cel,0.88,0,0,0,query_logs_block_20635912_to_22135911_attempt_0_status_200
2026-05-03T23:40:43Z,sqd_network_cel,3.32,0,0,0,worker_discover_block_22135912
2026-05-03T23:40:44Z,sqd_network_cel,1.19,0,0,0,query_logs_block_22135912_to_23635911_attempt_0_status_200
2026-05-03T23:40:45Z,sqd_network_cel,3.31,0,0,0,worker_discover_block_23635912
2026-05-03T23:40:47Z,sqd_network_cel,0.58,0,0,0,query_logs_block_23635912_to_25135911_attempt_0_status_200
2026-05-03T23:40:47Z,sqd_network_cel,3.23,0,0,0,worker_discover_block_25135912
2026-05-03T23:40:48Z,sqd_network_cel,1.53,0,0,0,query_logs_block_25135912_to_26635911_attempt_0_status_200
2026-05-03T23:40:49Z,sqd_network_cel,3.32,0,0,0,worker_discover_block_26635912
2026-05-03T23:40:51Z,sqd_network_cel,0.44,0,0,0,query_logs_block_26635912_to_28135911_attempt_0_status_200
2026-05-03T23:40:52Z,sqd_network_cel,3.26,0,0,0,worker_discover_block_28135912
2026-05-03T23:40:53Z,sqd_network_cel,1.18,0,0,0,query_logs_block_28135912_to_29635911_attempt_0_status_200
2026-05-03T23:40:54Z,sqd_network_eth,3.37,0,0,0,worker_discover_block_17817450
2026-05-03T23:40:55Z,sqd_network_eth,1.09,0,0,0,query_logs_block_17817450_to_19317449_attempt_0_status_200
2026-05-03T23:40:56Z,sqd_network_eth,3.42,0,0,0,worker_discover_block_19317450
2026-05-03T23:40:57Z,sqd_network_eth,1.52,0,0,0,query_logs_block_19317450_to_20817449_attempt_0_status_200
2026-05-03T23:40:57Z,sqd_network_eth,3.18,0,0,0,worker_discover_block_20817450
2026-05-03T23:40:58Z,sqd_network_eth,1.4,0,0,0,query_logs_block_20817450_to_22317449_attempt_0_status_200
2026-05-03T23:40:59Z,sqd_network_eth,3.37,0,0,0,worker_discover_block_22317450
2026-05-03T23:41:00Z,sqd_network_eth,1.96,0,0,0,query_logs_block_22317450_to_23817449_attempt_0_status_200
2026-05-03T23:41:00Z,sqd_network_eth,3.69,0,0,0,worker_discover_block_23817450
2026-05-03T23:41:01Z,sqd_network_eth,1.77,0,0,0,query_logs_block_23817450_to_24559982_attempt_0_status_200
2026-05-03T23:41:02Z,sqd_network_eth,3.32,0,0,0,worker_discover_block_17817450
2026-05-03T23:41:03Z,sqd_network_eth,1.13,0,0,0,query_logs_block_17817450_to_19317449_attempt_0_status_200
2026-05-03T23:41:03Z,sqd_network_eth,3.67,0,0,0,worker_discover_block_19317450
2026-05-03T23:41:04Z,sqd_network_eth,1.61,0,0,0,query_logs_block_19317450_to_20817449_attempt_0_status_200
2026-05-03T23:41:05Z,sqd_network_eth,3.32,0,0,0,worker_discover_block_20817450
2026-05-03T23:41:06Z,sqd_network_eth,1.51,0,0,0,query_logs_block_20817450_to_22317449_attempt_0_status_200
2026-05-03T23:41:06Z,sqd_network_eth,3.42,0,0,0,worker_discover_block_22317450
2026-05-03T23:41:07Z,sqd_network_eth,2.54,0,0,0,query_logs_block_22317450_to_23817449_attempt_0_status_200
2026-05-03T23:41:08Z,sqd_network_eth,3.35,0,0,0,worker_discover_block_23817450
2026-05-03T23:41:09Z,sqd_network_eth,1.95,0,0,0,query_logs_block_23817450_to_24559982_attempt_0_status_200
