address,n_inbound,inbound_wei,n_outbound,outbound_wei
0x45e68c474f4c5166f22e2afd078910e1a693ea01,72,10390014770000000000000000,9,10390014770000000000000000
0x1a0dc837ba3d23ef715da025f94799c561e0d356,77,3365900381500004618000000,3,488307844400004618000000
0x998c90f7cd4b7c0072f4657ebc73668f0dcd33cc,79,3306195990000000000000000,0,0
0xfa8cfbd97d6c15307fe5dc51744f001835ba120e,78,3943947980000000000000000,0,0
0xe661832420aa4feacd88961965586c3610e598ef,66,17159267930000000000000000,9,17159267930000000000000000
0xe9b71ebd633554ab93750516b45b613e4ac6793a,72,8414355850000000000000000,3,7938120142408366533864541
0x6ce038eac08c399f8d27691001f501d7a5cfdb94,66,4523728280000000000000000,8,4523728280000000000000000
0x83787745a9e4c8ac65dde1a77e182ec62449fef7,67,27853528020000000000000000,6,27718174283830278884462151
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,36,31320824329615872341258275,36,31320824329615872341258275
0x90cb22dd9cf7fde013691a954d11a177584f6c5c,58,3870288170000000000000000,12,3870288170000000000000000
0x85b9c596d4b1d0660847e937a51770bcb81d14d5,62,10647896370000000000000000,8,10647896370000000000000000
0x32117603792d8c70156a374f19c885c63fbf2a1e,67,4107249400000000000000000,0,0
0x488dd52f02f3dd2550599387bb933c5ffe62f5bb,58,10689256790000000000000000,8,10689256790000000000000000
0x0a694c250436bc7e029a6586c2b0b2d343940643,60,5444476370000000000000000,6,5444476370000000000000000
0x60640f3a013ef5e776c91b98bd8507a0ac7d2f47,62,5645603650000000000000000,3,5595241915818725099601593
0xa3761a88e316bea9a842de44a75c738d0bf95bcc,57,5369588670000000000000000,8,5369588670000000000000000
0x17c88b4c14ae0bb3edcdace2f16bd4c1f2815ccc,58,7020347290000000000000000,6,3679466469622709163346612
0xfbe854b250123c6b72022f75eab19345b1b06e90,58,4407938130000000000000000,6,4407938130000000000000000
0x09d195299d99bba4ed4b99b10e9f1bb99696396d,49,1467631258804162301075501,15,1467631258804162301075501
0xef577cef03722d07f499dccb13c9bbfa40d31d75,53,2207161150000000000000000,9,2207161150000000000000000
0xa7f9e2cc55adc63a12bd907242f0845856fff342,62,3236536330000000000000000,0,0
0x7b499f91a89fadbe5be15ee4d8f7604a68fcdabd,54,5297307710000000000000000,6,5297307710000000000000000
0x95afc67d5201edf883deb6b69396d3aa961015a1,57,4408856140000000000000000,3,3998748932907569721115537
0x902e1dd21ee2360b1e0c5994e4287bea42328be4,54,5484959840000000000000000,6,5484959840000000000000000
0xbae8f7f51c7d0fcf0b69c9a284615e0da6880d53,48,3830761340000000000000000,10,3830761340000000000000000
0x40821c9b874bbe7ea9d2cc7fbc98a52c9d905f3a,52,4773438350000000000000000,6,4773438350000000000000000
0x47f845a18f1af275078d8a4478a0addc93dd4d04,52,11257879650000000000000000,6,11257879650000000000000000
0x4be56610b5bf86a799bcb3620cd64bee89c73b12,52,3239935530000000000000000,6,3239935530000000000000000
0x66e87c168ad017e1ec2a10753b45e18da71c826b,48,10442228010000000000000000,9,10442228010000000000000000
0x2c05b3edeca5faedaec96abfeb43db5660166cdc,48,2183082690000000000000000,9,2183082690000000000000000
0xdde05ea4fd9103d31c7fb019cd94ceadfabcfee4,46,4093169680000000000000000,9,4093169680000000000000000
0x3f2dbd2a20974ac14bd6c8cd4ab7b02d344b92a6,49,3421500000000000000000000,6,3421500000000000000000000
0x83203cfb749590d107c815a6e7fcb1343d127b3b,55,548173508000000000000000,0,0
0x63a93b06af2cacad1701b60ff86504254a861f40,55,5215408480000000000000000,0,0
0x17c18575348fa45c5fb64e08cef517864edd33dd,49,16771311270000000000000000,6,16771311270000000000000000
0x756151c7a440a00e8a90c7fd3940cf4362742dee,45,2416052430000000000000000,8,2416052430000000000000000
0x7997757d5691628da6587a7361d1a969c536cca2,53,3133840090000000000000000,0,0
0x7ca4499d0e1046740faa65a2cbbd1542eb93490b,47,2941056980000000000000000,6,2941056980000000000000000
0x93636f94943b38404c267a1d39c3e89d964cc831,46,11201924320000000000000000,6,11201924320000000000000000
0x225630c5af5219041c0d295c0a19c15ed24ee459,46,5382631990000000000000000,5,5382631990000000000000000
0x64ba84dfc9778abbe075f7b609cf8edf1e90d5ef,41,2512725850000000000000000,9,2512725850000000000000000
0x3f0c5277dfb1ff580ce0365cc1f535680009dad9,27,1034775578531211442384821232,23,1034657457000000000000000000
